alpha,A_chemostat,kw,W_chemostat,epsilon,old_bound,paired_bound,old_saturation,paired_saturation,Lambda,Lambda_resp,Lambda_resp_over_Lambda
0.5,0.1,1.0,0.001,3.492218874397282e-08,6.984437748794567e-08,3.492218874397283e-08,0.49999999999999983,0.9999999999999998,0.034922188743972835,0.03492218874397283,0.9999999999999998
1.0,0.02,0.1,1e-05,1.670031294247465e-08,2.9046181936026724e-08,1.6899363902073503e-08,0.5749572518431698,0.9882213933759701,0.014523090968013363,0.019664443397325294,1.3540122719492422
1.0,0.02,0.1,0.0001,1.6700788058362625e-08,2.903740848666664e-08,1.6900148869032424e-08,0.5751473333452354,0.9882036062395222,0.014518704243333319,0.01967221227242825,1.354956471508903
1.0,0.02,0.1,0.001,1.670554022176562e-08,2.8949655395688993e-08,1.6907837759402637e-08,0.5770548904099669,0.9880352804116235,0.014474827697844495,0.019749801770756293,1.3644239629669177
1.0,0.02,0.4,1e-05,1.659613558512016e-08,3.0969896935567735e-08,1.6652558587807284e-08,0.5358795871890726,0.9966117517383524,0.015484948467783867,0.017908209904429925,1.1564914111072184
1.0,0.02,0.4,0.0001,1.659619596107517e-08,3.0968782053643014e-08,1.6652746742588466e-08,0.5359008285288015,0.9966041168830924,0.015484391026821505,0.017909259304575653,1.1566008164966823
1.0,0.02,0.4,0.001,1.65967997369467e-08,3.095763293269482e-08,1.6654625321423393e-08,0.536113331824494,0.9965279564468911,0.015478816466347411,0.017919751500383982,1.1576951984244674
1.0,0.02,1.0,1e-05,1.658644823332608e-08,3.1148780218730244e-08,1.6621654257936892e-08,0.5324910997109412,0.9978819181253272,0.015574390109365122,0.01773933928265098,1.1390069953355053
1.0,0.02,1.0,0.0001,1.65864702213653e-08,3.1148374195372215e-08,1.662172602015027e-08,0.5324987467188445,0.9978789327448768,0.015574187097686109,0.017739723695112692,1.139046525115158
1.0,0.02,1.0,0.001,1.6586690103923265e-08,3.114431392176112e-08,1.6622443242892978e-08,0.5325752285181607,0.9978491044639302,0.01557215696088056,0.017743567577524218,1.1394418655102532
1.0,0.05,0.1,1e-05,2.7504998156033656e-08,5.128847136718387e-08,2.7723071366699617e-08,0.5362803262183459,0.9921338726225007,0.025644235683591934,0.029970426706648817,1.1687003300248457
1.0,0.05,0.1,0.0001,2.7505176551249942e-08,5.128629316365449e-08,2.7723443052410023e-08,0.5363065812434711,0.9921270059874072,0.025643146581827248,0.029972503266229605,1.168830945554493
1.0,0.05,0.1,0.001,2.750696060209252e-08,5.1264509922653165e-08,2.7727153146282977e-08,0.5365692687513146,0.992058595304438,0.025632254961326588,0.02999326523387709,1.170137597301927
1.0,0.05,0.4,1e-05,2.7376865314933124e-08,5.285296842177629e-08,2.742248851007923e-08,0.5179816031610707,0.9983362853765319,0.02642648421088815,0.028456031838529395,1.0767997593416168
1.0,0.05,0.4,0.0001,2.7376888012639077e-08,5.285269128420477e-08,2.7422547865139664e-08,0.5179847486937863,0.9983349522179654,0.026426345642102386,0.028456304235187094,1.076815713401197
1.0,0.05,0.4,0.001,2.737711499130226e-08,5.284991988889966e-08,2.7423141297552234e-08,0.5180162060577204,0.99832162531088,0.026424959944449832,0.028459028138790695,1.076975261215792
1.0,0.05,1.0,1e-05,2.7364942417410258e-08,5.2998546232044045e-08,2.7391001424954346e-08,0.5163338310752538,0.9990486288858228,0.026499273116022022,0.028312737325923997,1.068434488823979
1.0,0.05,1.0,0.0001,2.7364950684533545e-08,5.299844529101787e-08,2.7391023471397937e-08,0.5163349704745269,0.9990481265918516,0.026499222645508937,0.028312836827227742,1.0684402786444067
1.0,0.05,1.0,0.001,2.7365033355979087e-08,5.299743587815628e-08,2.7391243920034828e-08,0.5163463647353176,0.9990431042806139,0.02649871793907814,0.02831383183185603,1.0684981777967872
1.0,0.1,0.1,1e-05,3.582556506800619e-08,6.841658611560196e-08,3.602880212110005e-08,0.523638595580793,0.9943590394037874,0.03420829305780097,0.03794619568091446,1.1092689020407314
1.0,0.1,0.1,0.0001,3.582563668109746e-08,6.841590596849894e-08,3.602894989171205e-08,0.5236448479918228,0.9943569487529983,0.03420795298424946,0.03794688419085414,1.1093000568705824
1.0,0.1,0.1,0.001,3.582635282489268e-08,6.840910437506348e-08,3.603042704977467e-08,0.5237073800655124,0.9943360586706322,0.03420455218753174,0.037953769026754035,1.1096116335237087
1.0,0.1,0.4,1e-05,3.568799909199933e-08,6.972312073822981e-08,3.5725283512926596e-08,0.5118531516394286,0.9989563575915703,0.03486156036911491,0.0366104060909936,1.0501654459342
1.0,0.1,0.4,0.0001,3.568800821216071e-08,6.972303411948081e-08,3.572530496281131e-08,0.5118539183335594,0.9989560130924166,0.03486151705974041,0.036610495535772135,1.0501693162989605
1.0,0.1,0.4,0.001,3.568809941398402e-08,6.972216792999925e-08,3.572551945227955e-08,0.5118615853972688,0.9989525683917483,0.034861083964999616,0.03661138997905564,1.0502080203763409
1.0,0.1,1.0,1e-05,3.567519182285412e-08,6.984475778776525e-08,3.569498441746196e-08,0.5107783741087489,0.9994455076831983,0.034922378893882625,0.03648468268540671,1.0447364652984095
1.0,0.1,1.0,0.0001,3.56751951449586e-08,6.984472623607835e-08,3.569499232287247e-08,0.510778652412135,0.9994453794040687,0.03492236311803918,0.03648471532763401,1.0447378719565457
1.0,0.1,1.0,0.001,3.567522836603114e-08,6.984441071894516e-08,3.5695071375726705e-08,0.510781435462155,0.9994440966517002,0.03492220535947258,0.03648504174930684,1.0447519385945752
