alpha,k3p,s_target,qfrac,epsilon,old_bound,paired_bound,old_saturation,paired_saturation,Lambda,Lambda_resp,Lambda_resp_over_Lambda
1.0,2.0,0.02,0.4,1.8200000000156348e-08,2.8400000001039716e-08,1.8206278352162693e-08,0.6408450704045793,0.9996551545634477,0.01420000000051986,0.023342857142555837,1.6438631789930465
1.0,2.0,0.02,0.8,6.20000000000563e-09,1.640000000000894e-08,6.208059278073481e-09,0.37804878048794205,0.9987018039443799,0.008200000000004471,0.00470000000000649,0.573170731707796
1.0,2.0,0.04,0.1,5.420004891753131e-08,1.0353915725578956e-07,5.466895122559735e-08,0.5234739238183304,0.9914228771989595,0.05176957862789478,0.05773070415713905,1.1151472677050585
1.0,2.0,0.04,0.4,3.620000000032666e-08,5.64000000022427e-08,3.620631357774972e-08,0.6418439716114751,0.9998256221968164,0.028200000001121356,0.046485714285043174,1.6484295845104502
1.0,2.0,0.04,0.8,1.22000000000112e-08,3.240000000001772e-08,1.2208193969637412e-08,0.37654320987668294,0.9993288139386881,0.01620000000000886,0.00920000000001295,0.56790123456839
1.0,2.0,0.08,0.1,1.0820009827379746e-07,2.0709486648331174e-07,1.0912197118230076e-07,0.5224663465162065,0.9915519038144646,0.10354743324165587,0.11499661770390072,1.1105694666088448
1.0,2.0,0.08,0.4,7.220000000066828e-08,1.1240000000466551e-07,7.220633134186345e-08,0.6423487544276815,0.9999123159828576,0.05620000000233276,0.09277142857000996,1.6507371630989178
1.0,2.0,0.08,0.8,2.420000000002234e-08,6.440000000003528e-08,2.4208263052130655e-08,0.375776397515669,0.9996586681130107,0.03220000000001764,0.018200000000025873,0.5652173913048417
1.0,3.0,0.02,0.1,3.6200034561272033e-08,7.098275597180871e-08,3.6340057411617455e-08,0.509983503256046,0.9961468731664508,0.03549137798590436,0.037209030689203955,1.048396337385992
1.0,3.0,0.02,0.4,2.4200015546121336e-08,4.137738453916184e-08,2.4539010462511954e-08,0.5848609286364417,0.9861854691773942,0.02068869226958092,0.029105901263979158,1.4068507030178152
1.0,3.0,0.02,0.8,8.200000000009343e-09,1.840000000001638e-08,8.201354901623118e-09,0.4456521739131545,0.9998347953929531,0.009200000000008191,0.007311111111121482,0.794685990338584
1.0,3.0,0.04,0.1,7.220006943260083e-08,1.4187173647990394e-07,7.24692304217144e-08,0.5089108741742083,0.9962858583215627,0.07093586823995197,0.07403573802960321,1.043699610176976
1.0,3.0,0.04,0.4,4.8200031548176226e-08,8.271102423832353e-08,4.888296002704757e-08,0.5827522025273519,0.9860293141312746,0.04135551211916177,0.0577805390033788,1.3971665696434847
1.0,3.0,0.04,0.8,1.6200000000018674e-08,3.640000000003269e-08,1.6201371684059904e-08,0.4450549450550584,0.9999153353143191,0.018200000000016345,0.014422222222242985,0.7924297924302215
1.0,3.0,0.08,0.1,1.4420013917508447e-07,2.836496715273146e-07,1.44727498192652e-07,0.5083740742537699,0.9963561933692411,0.14182483576365731,0.1476895680528722,1.0413519413411352
1.0,3.0,0.08,0.4,9.620006354926778e-08,1.6537795135422592e-07,9.757074498229518e-08,0.5816982418848278,0.9859519220307673,0.08268897567711296,0.11513082848642767,1.392335889320904
1.0,3.0,0.08,0.8,3.220000000003734e-08,7.240000000006531e-08,3.220138023270631e-08,0.4447513812155841,0.9999571374686739,0.03620000000003266,0.028644444444485995,0.7912829957033192
